epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3684,1.25414,7.86858,0.02057,0.0031,0.90886,0.10849,0.0593,1.02068,5.61794,0.0281,0.00018337,0.00018337,0.00018337
2,13.4829,1.09051,6.65627,0.01749,0.0033,0.93421,0.25153,0.15326,1.01854,5.49195,0.02686,0.000379614,0.000379614,0.000379614
3,15.6093,1.06887,6.33094,0.01704,0.00358,1,0.42824,0.28155,0.93434,5.24556,0.02463,0.000571898,0.000571898,0.000571898
4,17.6777,1.17949,5.68185,0.01886,0.00395,1,0.43605,0.28863,0.86754,4.90748,0.02339,0.00076022,0.00076022,0.00076022
5,19.788,1.17415,5.26501,0.01915,0.68678,0.19255,0.55113,0.38463,1.06755,4.40891,0.02882,0.000944582,0.000944582,0.000944582
6,21.8839,1.18689,5.23181,0.02095,0.55364,0.26476,0.56997,0.34622,1.171,4.14554,0.03305,0.00112498,0.00112498,0.00112498
7,24.0438,1.21748,4.93064,0.02139,0.61549,0.54587,0.65925,0.39904,1.33241,3.70798,0.03797,0.00130142,0.00130142,0.00130142
8,26.1176,1.23902,4.99237,0.02189,0.68243,0.78113,0.77386,0.46826,1.34412,3.10897,0.0419,0.0014739,0.0014739,0.0014739
9,28.231,1.21826,4.19266,0.02047,0.76958,0.71034,0.81951,0.47618,1.48325,2.86968,0.04358,0.00153497,0.00153497,0.00153497
10,30.3376,1.22599,4.21146,0.0207,0.72985,0.62805,0.72907,0.44338,1.39119,3.03965,0.04226,0.00151847,0.00151847,0.00151847
11,32.6054,1.17339,3.92074,0.01998,0.82523,0.65533,0.80697,0.51241,1.28005,2.67686,0.03818,0.00150197,0.00150197,0.00150197
12,35.0378,1.20311,3.69289,0.02039,0.8487,0.73533,0.88226,0.53937,1.40662,2.42921,0.04286,0.00148546,0.00148546,0.00148546
13,37.2497,1.26633,3.69424,0.0218,0.74544,0.7439,0.81762,0.5255,1.2697,2.54838,0.0368,0.00146896,0.00146896,0.00146896
14,39.5288,1.20652,3.30705,0.02107,0.84765,0.76388,0.87168,0.57916,1.39151,2.38905,0.04161,0.00145246,0.00145246,0.00145246
