epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,90.5025,1.00476,0.89785,1.22174,0.96724,0.97465,0.96603,0.60931,1.27513,0.7049,1.65963,0.000990365,0.000990365,0.000990365
43,92.2213,0.99921,0.90475,1.27215,0.96639,0.97465,0.98568,0.61443,1.27997,0.67673,1.64286,0.000973861,0.000973861,0.000973861
44,93.9174,0.99392,0.85424,1.26993,0.95482,0.98684,0.98706,0.62407,1.28221,0.61204,1.61929,0.000957358,0.000957358,0.000957358
45,95.6253,0.97791,0.92302,1.23429,0.93623,0.98323,0.98061,0.64357,1.1819,0.62607,1.50951,0.000940855,0.000940855,0.000940855
46,97.344,0.93534,0.90206,1.22533,0.96054,0.9605,0.98146,0.62221,1.25012,0.64307,1.60046,0.000924352,0.000924352,0.000924352
47,99.1576,0.9404,0.8846,1.20636,0.9618,0.97317,0.98367,0.58425,1.38111,0.60606,1.75308,0.000907848,0.000907848,0.000907848
48,100.857,0.94863,0.84025,1.21383,0.96533,0.98577,0.97541,0.58739,1.34866,0.59647,1.72615,0.000891345,0.000891345,0.000891345
49,102.789,0.92802,0.818,1.23712,0.96862,0.98538,0.97835,0.59334,1.32243,0.57566,1.69752,0.000874842,0.000874842,0.000874842
50,104.489,1.03269,0.90444,1.26949,0.96134,0.96853,0.97633,0.57354,1.38785,0.61129,1.7825,0.000858338,0.000858338,0.000858338
51,106.2,0.9727,0.8223,1.25581,0.95253,0.94833,0.96081,0.60552,1.28039,0.62781,1.62703,0.000841835,0.000841835,0.000841835
52,107.997,0.98108,0.92898,1.28805,0.94763,0.96053,0.93967,0.61114,1.27075,0.68378,1.58334,0.000825332,0.000825332,0.000825332
53,109.711,0.9571,0.89195,1.22047,0.94764,0.96053,0.95057,0.58183,1.31365,0.69598,1.60996,0.000808828,0.000808828,0.000808828
54,111.39,1.01225,0.85504,1.25652,0.94746,0.96053,0.95341,0.56674,1.40658,0.69078,1.74908,0.000792325,0.000792325,0.000792325
