epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,95.6702,0.75964,0.73326,0.0162,0,0,0,0,0,25.7656,0,0.000775822,0.000775822,0.000775822
56,97.1304,0.7654,0.74393,0.01701,0,0,0,0,0,24.5391,0,0.000759318,0.000759318,0.000759318
57,98.7052,0.76752,0.74663,0.01666,0,0,0,0,0,23.8984,0,0.000742815,0.000742815,0.000742815
58,100.168,0.83214,0.78185,0.01736,0,0,0,0,0,24.125,0,0.000726312,0.000726312,0.000726312
59,101.623,0.77615,0.7837,0.01728,0,0,0,0,0,22.3516,0,0.000709809,0.000709809,0.000709809
60,103.09,0.73651,0.78056,0.016,0,0,0,0,0,22.7656,0,0.000693305,0.000693305,0.000693305
61,104.544,0.79365,0.77898,0.01748,0,0,0,0,0,22.4062,0,0.000676802,0.000676802,0.000676802
62,106.005,0.75722,0.71938,0.01772,0,0,0,0,0,21.2344,0,0.000660299,0.000660299,0.000660299
63,107.571,0.77648,0.66024,0.01639,0,0,0,0,0,22.3828,0,0.000643795,0.000643795,0.000643795
64,109.028,0.69752,0.67682,0.01556,0,0,0,0,0,22.2109,0,0.000627292,0.000627292,0.000627292
65,110.489,0.7244,0.63662,0.01563,0,0,0,0,0,22.5312,0,0.000610789,0.000610789,0.000610789
66,111.938,0.71987,0.74362,0.0165,0,0,0,0,0,21.9375,0,0.000594286,0.000594286,0.000594286
67,113.403,0.74451,0.70514,0.0162,0,0,0,0,0,20.9922,0,0.000577782,0.000577782,0.000577782
68,114.983,0.73924,0.67861,0.01597,0,0,0,0,0,22.3203,0,0.000561279,0.000561279,0.000561279
69,116.454,0.70349,0.63713,0.01554,0,0,0,0,0,24.3438,0,0.000544776,0.000544776,0.000544776
70,117.903,0.70202,0.65566,0.01529,0,0,0,0,0,23.9375,0,0.000528272,0.000528272,0.000528272
71,119.37,0.69557,0.67817,0.01565,0,0,0,0,0,23.3672,0,0.000511769,0.000511769,0.000511769
72,120.759,0.69546,0.69712,0.01513,0,0,0,0,0,24.5703,0,0.000495266,0.000495266,0.000495266
73,122.177,0.64191,0.57957,0.01393,0,0,0,0,0,24.5703,0,0.000478762,0.000478762,0.000478762
74,123.655,0.67423,0.60493,0.01501,0,0,0,0,0,24.1953,0,0.000462259,0.000462259,0.000462259
75,125.028,0.66642,0.62907,0.01499,0,0,0,0,0,25.2578,0,0.000445756,0.000445756,0.000445756
76,126.404,0.70157,0.63187,0.01496,0,0,0,0,0,27.75,0,0.000429253,0.000429253,0.000429253
77,127.799,0.64228,0.60508,0.01334,0,0,0,0,0,27.7734,0,0.000412749,0.000412749,0.000412749
78,129.168,0.65767,0.64073,0.01441,0,0,0,0,0,27.2422,0,0.000396246,0.000396246,0.000396246
79,130.646,0.64352,0.57693,0.01349,0,0,0,0,0,26.5,0,0.000379743,0.000379743,0.000379743
80,132.032,0.66963,0.58899,0.01401,0,0,0,0,0,26.4688,0,0.000363239,0.000363239,0.000363239
81,133.426,0.71632,0.59994,0.01555,0,0,0,0,0,26.5859,0,0.000346736,0.000346736,0.000346736
82,134.795,0.60468,0.55089,0.01287,0,0,0,0,0,27.0938,0,0.000330233,0.000330233,0.000330233
83,136.163,0.68299,0.64098,0.01409,0,0,0,0,0,28.4062,0,0.000313729,0.000313729,0.000313729
84,137.565,0.64681,0.58826,0.01458,0,0,0,0,0,29.5703,0,0.000297226,0.000297226,0.000297226
85,139.082,0.62737,0.5713,0.01326,0,0,0,0,0,29.375,0,0.000280723,0.000280723,0.000280723
86,140.448,0.60353,0.58414,0.01294,0,0,0,0,0,28.1562,0,0.00026422,0.00026422,0.00026422
87,141.843,0.66418,0.55136,0.01504,0,0,0,0,0,27.3516,0,0.000247716,0.000247716,0.000247716
88,143.225,0.66773,0.57862,0.01416,0,0,0,0,0,26.7656,0,0.000231213,0.000231213,0.000231213
89,144.618,0.62424,0.56566,0.01295,0,0,0,0,0,25.9062,0,0.00021471,0.00021471,0.00021471
90,146.129,0.67009,0.61155,0.01437,0,0,0,0,0,25.1484,0,0.000198206,0.000198206,0.000198206
91,150.907,0.49935,0.63841,0.01575,0,0,0,0,0,26.2578,0,0.000181703,0.000181703,0.000181703
92,152.309,0.49547,0.65155,0.01669,0,0,0,0,0,27.3203,0,0.0001652,0.0001652,0.0001652
93,153.664,0.50024,0.64033,0.0169,0,0,0,0,0,28,0,0.000148696,0.000148696,0.000148696
94,155.028,0.52342,0.65601,0.01677,0,0,0,0,0,27.7969,0,0.000132193,0.000132193,0.000132193
95,156.423,0.4602,0.59031,0.01491,0,0,0,0,0,27.4922,0,0.00011569,0.00011569,0.00011569
96,157.898,0.48458,0.58375,0.01546,0,0,0,0,0,27.1094,0,9.91865e-05,9.91865e-05,9.91865e-05
97,159.258,0.48629,0.59439,0.01543,0,0,0,0,0,26.5859,0,8.26832e-05,8.26832e-05,8.26832e-05
98,160.604,0.44608,0.61763,0.01384,0,0,0,0,0,26.9609,0,6.61799e-05,6.61799e-05,6.61799e-05
99,161.955,0.48993,0.63146,0.01643,0,0,0,0,0,27.3125,0,4.96766e-05,4.96766e-05,4.96766e-05
100,163.306,0.48568,0.6058,0.01589,0,0,0,0,0,28.2188,0,3.31733e-05,3.31733e-05,3.31733e-05
